case_key,task_id,input_id,expected_variable_count,predicted_state_attempted_variable_count,control_flow_expanded_exact,oracle_cf_all_variables_exact,predicted_cf_all_variables_exact,end_to_end_case_joint_exact,problem_key,platform,cf_service_epoch,difficulty,contest_date,interface,test_source,trace_length,trace_bin,long_trace,distinct_blocks,compressed_runs,repeated_block,selected_candidate,helper_functions,failure_bucket
task_lcb_0042/input_007,task_lcb_0042,input_007,4,4,False,False,True,False,leetcode/2844,leetcode,after_service_recovery,easy,2023-07-16T00:00:00,functional,private,109,>100,True,5,12,True,1,False,control_flow_failed
task_lcb_0042/input_008,task_lcb_0042,input_008,4,4,True,True,True,True,leetcode/2844,leetcode,after_service_recovery,easy,2023-07-16T00:00:00,functional,private,6,6-10,False,5,4,True,1,False,all_correct
task_lcb_0042/input_009,task_lcb_0042,input_009,4,0,False,False,False,False,leetcode/2844,leetcode,before_service_recovery,easy,2023-07-16T00:00:00,functional,private,109,>100,True,5,12,True,1,False,control_flow_failed
task_lcb_0055/input_000,task_lcb_0055,input_000,11,11,True,True,True,True,leetcode/2869,leetcode,after_service_recovery,medium,2023-07-09T00:00:00,functional,public,21,11-25,True,13,5,True,1,False,all_correct
task_lcb_0055/input_001,task_lcb_0055,input_001,11,11,True,True,True,True,leetcode/2869,leetcode,after_service_recovery,medium,2023-07-09T00:00:00,functional,public,33,26-100,True,13,6,True,1,False,all_correct
task_lcb_0055/input_002,task_lcb_0055,input_002,11,11,True,True,True,True,leetcode/2869,leetcode,after_service_recovery,medium,2023-07-09T00:00:00,functional,public,13,11-25,True,12,4,True,1,False,all_correct
task_lcb_0055/input_003,task_lcb_0055,input_003,11,11,True,True,True,True,leetcode/2869,leetcode,after_service_recovery,medium,2023-07-09T00:00:00,functional,private,79,26-100,True,13,11,True,1,False,all_correct
task_lcb_0055/input_004,task_lcb_0055,input_004,4,4,True,True,True,True,leetcode/2869,leetcode,after_service_recovery,medium,2023-07-09T00:00:00,functional,private,3,3-5,False,3,3,False,1,False,all_correct
task_lcb_0055/input_005,task_lcb_0055,input_005,11,11,True,False,False,False,leetcode/2869,leetcode,before_service_recovery,medium,2023-07-09T00:00:00,functional,private,12,11-25,True,11,4,True,1,False,state_failed_given_correct_cf
task_lcb_0055/input_006,task_lcb_0055,input_006,4,4,True,True,True,True,leetcode/2869,leetcode,after_service_recovery,medium,2023-07-09T00:00:00,functional,private,3,3-5,False,3,3,False,1,False,all_correct
task_lcb_0055/input_007,task_lcb_0055,input_007,11,11,True,True,True,True,leetcode/2869,leetcode,after_service_recovery,medium,2023-07-09T00:00:00,functional,private,21,11-25,True,12,5,True,1,False,all_correct
task_lcb_0055/input_008,task_lcb_0055,input_008,11,11,True,True,True,True,leetcode/2869,leetcode,after_service_recovery,medium,2023-07-09T00:00:00,functional,private,20,11-25,True,12,5,True,1,False,all_correct
task_lcb_0055/input_009,task_lcb_0055,input_009,11,11,True,False,True,True,leetcode/2869,leetcode,after_service_recovery,medium,2023-07-09T00:00:00,functional,private,44,26-100,True,13,8,True,1,False,all_correct
task_lcb_0063/input_000,task_lcb_0063,input_000,3,3,True,True,True,True,leetcode/2881,leetcode,after_service_recovery,easy,2023-07-23T00:00:00,functional,public,27,26-100,True,6,6,True,1,False,all_correct
task_lcb_0063/input_001,task_lcb_0063,input_001,3,3,True,True,False,False,leetcode/2881,leetcode,after_service_recovery,easy,2023-07-23T00:00:00,functional,public,21,11-25,True,6,4,True,1,False,state_failed_given_correct_cf
task_lcb_0063/input_002,task_lcb_0063,input_002,3,3,True,True,True,True,leetcode/2881,leetcode,after_service_recovery,easy,2023-07-23T00:00:00,functional,public,13,11-25,True,5,4,True,1,False,all_correct
task_lcb_0063/input_003,task_lcb_0063,input_003,3,3,True,True,True,True,leetcode/2881,leetcode,after_service_recovery,easy,2023-07-23T00:00:00,functional,private,25,11-25,True,6,5,True,1,False,all_correct
task_lcb_0063/input_004,task_lcb_0063,input_004,3,3,True,True,True,True,leetcode/2881,leetcode,after_service_recovery,easy,2023-07-23T00:00:00,functional,private,40,26-100,True,6,5,True,1,False,all_correct
task_lcb_0063/input_008,task_lcb_0063,input_008,3,3,True,True,True,True,leetcode/2881,leetcode,after_service_recovery,easy,2023-07-23T00:00:00,functional,private,18,11-25,True,6,4,True,1,False,all_correct
task_lcb_0074/input_000,task_lcb_0074,input_000,4,4,True,True,True,True,leetcode/2915,leetcode,after_service_recovery,medium,2023-09-03T00:00:00,functional,public,9,6-10,False,4,4,True,1,False,all_correct
task_lcb_0074/input_001,task_lcb_0074,input_001,4,4,True,True,False,False,leetcode/2915,leetcode,after_service_recovery,medium,2023-09-03T00:00:00,functional,public,11,11-25,True,4,4,True,1,False,state_failed_given_correct_cf
task_lcb_0074/input_002,task_lcb_0074,input_002,4,4,True,False,False,False,leetcode/2915,leetcode,after_service_recovery,medium,2023-09-03T00:00:00,functional,private,11,11-25,True,4,4,True,1,False,state_failed_given_correct_cf
task_lcb_0074/input_005,task_lcb_0074,input_005,4,4,True,False,False,False,leetcode/2915,leetcode,after_service_recovery,medium,2023-09-03T00:00:00,functional,private,9,6-10,False,4,4,True,1,False,state_failed_given_correct_cf
task_lcb_0074/input_006,task_lcb_0074,input_006,4,4,True,True,True,True,leetcode/2915,leetcode,after_service_recovery,medium,2023-09-03T00:00:00,functional,private,15,11-25,True,4,4,True,1,False,all_correct
task_lcb_0074/input_007,task_lcb_0074,input_007,4,4,True,True,False,False,leetcode/2915,leetcode,after_service_recovery,medium,2023-09-03T00:00:00,functional,private,15,11-25,True,4,4,True,1,False,state_failed_given_correct_cf
task_lcb_0077/input_000,task_lcb_0077,input_000,3,3,True,True,True,True,leetcode/2919,leetcode,after_service_recovery,hard,2023-07-23T00:00:00,functional,public,15,11-25,True,6,4,True,1,False,all_correct
task_lcb_0077/input_001,task_lcb_0077,input_001,4,4,True,True,True,True,leetcode/2919,leetcode,after_service_recovery,hard,2023-07-23T00:00:00,functional,public,14,11-25,True,6,5,True,1,False,all_correct
task_lcb_0077/input_002,task_lcb_0077,input_002,3,3,True,True,True,True,leetcode/2919,leetcode,after_service_recovery,hard,2023-07-23T00:00:00,functional,public,10,6-10,True,6,5,True,1,False,all_correct
task_lcb_0077/input_003,task_lcb_0077,input_003,4,4,True,True,True,True,leetcode/2919,leetcode,after_service_recovery,hard,2023-07-23T00:00:00,functional,private,15,11-25,True,6,4,True,1,False,all_correct
task_lcb_0077/input_004,task_lcb_0077,input_004,3,3,True,True,True,True,leetcode/2919,leetcode,before_service_recovery,hard,2023-07-23T00:00:00,functional,private,7,6-10,False,6,4,True,1,False,all_correct
task_lcb_0077/input_005,task_lcb_0077,input_005,4,4,True,True,True,True,leetcode/2919,leetcode,after_service_recovery,hard,2023-07-23T00:00:00,functional,private,15,11-25,True,6,4,True,1,False,all_correct
task_lcb_0077/input_006,task_lcb_0077,input_006,3,3,True,True,True,True,leetcode/2919,leetcode,after_service_recovery,hard,2023-07-23T00:00:00,functional,private,7,6-10,False,6,4,True,1,False,all_correct
task_lcb_0077/input_007,task_lcb_0077,input_007,3,3,True,True,True,True,leetcode/2919,leetcode,after_service_recovery,hard,2023-07-23T00:00:00,functional,private,7,6-10,False,6,4,True,1,False,all_correct
task_lcb_0077/input_008,task_lcb_0077,input_008,3,3,True,True,True,True,leetcode/2919,leetcode,before_service_recovery,hard,2023-07-23T00:00:00,functional,private,11,11-25,True,6,4,True,1,False,all_correct
task_lcb_0077/input_009,task_lcb_0077,input_009,3,3,True,True,True,True,leetcode/2919,leetcode,before_service_recovery,hard,2023-07-23T00:00:00,functional,private,7,6-10,False,6,4,True,1,False,all_correct
task_lcb_0080/input_000,task_lcb_0080,input_000,12,12,True,True,True,True,leetcode/2952,leetcode,after_service_recovery,hard,2023-08-05T00:00:00,functional,public,41,26-100,True,11,11,True,1,False,all_correct
task_lcb_0080/input_001,task_lcb_0080,input_001,12,12,True,False,True,True,leetcode/2952,leetcode,after_service_recovery,hard,2023-08-05T00:00:00,functional,public,42,26-100,True,11,10,True,1,False,all_correct
task_lcb_0080/input_002,task_lcb_0080,input_002,2,2,True,True,True,True,leetcode/2952,leetcode,after_service_recovery,hard,2023-08-05T00:00:00,functional,private,3,3-5,False,3,3,False,1,False,all_correct
task_lcb_0080/input_004,task_lcb_0080,input_004,2,2,True,True,True,True,leetcode/2952,leetcode,after_service_recovery,hard,2023-08-05T00:00:00,functional,private,3,3-5,False,3,3,False,1,False,all_correct
task_lcb_0080/input_005,task_lcb_0080,input_005,2,2,True,True,False,False,leetcode/2952,leetcode,after_service_recovery,hard,2023-08-05T00:00:00,functional,private,3,3-5,False,3,3,False,1,False,state_failed_given_correct_cf
task_lcb_0080/input_007,task_lcb_0080,input_007,2,2,True,True,True,True,leetcode/2952,leetcode,after_service_recovery,hard,2023-08-05T00:00:00,functional,private,3,3-5,False,3,3,False,1,False,all_correct
task_lcb_0080/input_008,task_lcb_0080,input_008,2,2,True,True,True,True,leetcode/2952,leetcode,after_service_recovery,hard,2023-08-05T00:00:00,functional,private,3,3-5,False,3,3,False,1,False,all_correct
task_lcb_0080/input_009,task_lcb_0080,input_009,2,2,True,True,True,True,leetcode/2952,leetcode,after_service_recovery,hard,2023-08-05T00:00:00,functional,private,3,3-5,False,3,3,False,1,False,all_correct
task_lcb_0084/input_000,task_lcb_0084,input_000,2,2,True,True,True,True,leetcode/2977,leetcode,after_service_recovery,easy,2023-08-20T00:00:00,functional,public,9,6-10,False,4,4,True,1,False,all_correct
task_lcb_0084/input_002,task_lcb_0084,input_002,2,2,True,True,True,True,leetcode/2977,leetcode,before_service_recovery,easy,2023-08-20T00:00:00,functional,public,15,11-25,True,4,4,True,1,False,all_correct
task_lcb_0084/input_003,task_lcb_0084,input_003,2,2,True,True,True,True,leetcode/2977,leetcode,after_service_recovery,easy,2023-08-20T00:00:00,functional,private,13,11-25,True,4,4,True,1,False,all_correct
task_lcb_0084/input_004,task_lcb_0084,input_004,2,2,True,True,True,True,leetcode/2977,leetcode,after_service_recovery,easy,2023-08-20T00:00:00,functional,private,7,6-10,False,4,4,True,1,False,all_correct
task_lcb_0084/input_006,task_lcb_0084,input_006,2,2,True,True,False,False,leetcode/2977,leetcode,after_service_recovery,easy,2023-08-20T00:00:00,functional,private,189,>100,True,4,4,True,1,False,state_failed_given_correct_cf
task_lcb_0084/input_008,task_lcb_0084,input_008,2,2,True,True,True,True,leetcode/2977,leetcode,after_service_recovery,easy,2023-08-20T00:00:00,functional,private,197,>100,True,4,4,True,1,False,all_correct
task_lcb_0084/input_009,task_lcb_0084,input_009,2,2,True,True,True,True,leetcode/2977,leetcode,before_service_recovery,easy,2023-08-20T00:00:00,functional,private,9,6-10,False,4,4,True,1,False,all_correct
task_lcb_0094/input_000,task_lcb_0094,input_000,14,14,False,True,True,False,leetcode/3031,leetcode,after_service_recovery,medium,2023-10-15T00:00:00,functional,public,49,26-100,True,15,13,True,1,False,control_flow_failed
task_lcb_0094/input_001,task_lcb_0094,input_001,14,14,True,True,True,True,leetcode/3031,leetcode,after_service_recovery,medium,2023-10-15T00:00:00,functional,public,45,26-100,True,15,13,True,1,False,all_correct
task_lcb_0094/input_006,task_lcb_0094,input_006,14,14,True,True,True,True,leetcode/3031,leetcode,after_service_recovery,medium,2023-10-15T00:00:00,functional,private,97,26-100,True,15,13,True,1,False,all_correct
task_lcb_0094/input_009,task_lcb_0094,input_009,14,14,True,False,True,True,leetcode/3031,leetcode,after_service_recovery,medium,2023-10-15T00:00:00,functional,private,29,26-100,True,15,13,True,1,False,all_correct
task_lcb_0098/input_000,task_lcb_0098,input_000,3,3,True,True,True,True,leetcode/3044,leetcode,after_service_recovery,easy,2023-09-30T00:00:00,functional,public,14,11-25,True,6,8,True,1,False,all_correct
task_lcb_0098/input_001,task_lcb_0098,input_001,3,3,True,True,True,True,leetcode/3044,leetcode,after_service_recovery,easy,2023-09-30T00:00:00,functional,public,22,11-25,True,6,7,True,1,False,all_correct
task_lcb_0098/input_002,task_lcb_0098,input_002,3,3,True,True,True,True,leetcode/3044,leetcode,after_service_recovery,easy,2023-09-30T00:00:00,functional,public,16,11-25,True,6,8,True,1,False,all_correct
task_lcb_0098/input_003,task_lcb_0098,input_003,3,3,True,False,False,False,leetcode/3044,leetcode,after_service_recovery,easy,2023-09-30T00:00:00,functional,private,152,>100,True,6,8,True,1,False,state_failed_given_correct_cf
task_lcb_0098/input_004,task_lcb_0098,input_004,3,3,True,True,True,True,leetcode/3044,leetcode,after_service_recovery,easy,2023-09-30T00:00:00,functional,private,6,6-10,False,6,6,False,1,False,all_correct
task_lcb_0098/input_005,task_lcb_0098,input_005,3,3,True,True,True,True,leetcode/3044,leetcode,after_service_recovery,easy,2023-09-30T00:00:00,functional,private,6,6-10,False,6,6,False,1,False,all_correct
task_lcb_0098/input_006,task_lcb_0098,input_006,3,3,True,True,True,True,leetcode/3044,leetcode,after_service_recovery,easy,2023-09-30T00:00:00,functional,private,96,26-100,True,6,7,True,1,False,all_correct
task_lcb_0098/input_007,task_lcb_0098,input_007,3,3,True,True,True,True,leetcode/3044,leetcode,after_service_recovery,easy,2023-09-30T00:00:00,functional,private,16,11-25,True,6,9,True,1,False,all_correct
task_lcb_0098/input_008,task_lcb_0098,input_008,3,3,True,True,True,True,leetcode/3044,leetcode,after_service_recovery,easy,2023-09-30T00:00:00,functional,private,14,11-25,True,6,8,True,1,False,all_correct
task_lcb_0098/input_009,task_lcb_0098,input_009,3,3,True,True,True,True,leetcode/3044,leetcode,after_service_recovery,easy,2023-09-30T00:00:00,functional,private,16,11-25,True,6,8,True,1,False,all_correct
task_lcb_0099/input_000,task_lcb_0099,input_000,3,3,True,True,True,True,leetcode/3045,leetcode,after_service_recovery,easy,2023-09-16T00:00:00,functional,public,15,11-25,True,8,8,True,1,False,all_correct
task_lcb_0099/input_001,task_lcb_0099,input_001,3,3,True,True,True,True,leetcode/3045,leetcode,after_service_recovery,easy,2023-09-16T00:00:00,functional,public,8,6-10,False,5,5,True,1,False,all_correct
task_lcb_0099/input_002,task_lcb_0099,input_002,3,3,True,True,True,True,leetcode/3045,leetcode,after_service_recovery,easy,2023-09-16T00:00:00,functional,public,11,11-25,True,8,7,True,1,False,all_correct
task_lcb_0099/input_003,task_lcb_0099,input_003,2,2,True,True,True,True,leetcode/3045,leetcode,after_service_recovery,easy,2023-09-16T00:00:00,functional,private,4,3-5,False,4,4,False,1,False,all_correct
task_lcb_0099/input_004,task_lcb_0099,input_004,3,3,True,True,True,True,leetcode/3045,leetcode,after_service_recovery,easy,2023-09-16T00:00:00,functional,private,9,6-10,False,8,6,True,1,False,all_correct
task_lcb_0099/input_005,task_lcb_0099,input_005,3,3,True,True,True,True,leetcode/3045,leetcode,after_service_recovery,easy,2023-09-16T00:00:00,functional,private,15,11-25,True,6,8,True,1,False,all_correct
task_lcb_0099/input_006,task_lcb_0099,input_006,3,3,True,True,True,True,leetcode/3045,leetcode,after_service_recovery,easy,2023-09-16T00:00:00,functional,private,9,6-10,False,8,6,True,1,False,all_correct
task_lcb_0099/input_007,task_lcb_0099,input_007,3,3,True,True,True,True,leetcode/3045,leetcode,after_service_recovery,easy,2023-09-16T00:00:00,functional,private,9,6-10,False,6,6,True,1,False,all_correct
task_lcb_0099/input_008,task_lcb_0099,input_008,3,3,True,True,True,True,leetcode/3045,leetcode,after_service_recovery,easy,2023-09-16T00:00:00,functional,private,12,11-25,True,5,5,True,1,False,all_correct
task_lcb_0099/input_009,task_lcb_0099,input_009,3,3,True,True,True,True,leetcode/3045,leetcode,after_service_recovery,easy,2023-09-16T00:00:00,functional,private,11,11-25,True,8,7,True,1,False,all_correct
task_lcb_0106/input_000,task_lcb_0106,input_000,5,5,True,True,True,True,leetcode/3093,leetcode,after_service_recovery,easy,2023-09-17T00:00:00,functional,public,36,26-100,True,8,7,True,1,False,all_correct
task_lcb_0106/input_001,task_lcb_0106,input_001,5,5,True,True,True,True,leetcode/3093,leetcode,after_service_recovery,easy,2023-09-17T00:00:00,functional,public,28,26-100,True,8,6,True,1,False,all_correct
task_lcb_0106/input_002,task_lcb_0106,input_002,5,5,True,True,True,True,leetcode/3093,leetcode,after_service_recovery,easy,2023-09-17T00:00:00,functional,private,42,26-100,True,8,8,True,1,False,all_correct
task_lcb_0106/input_004,task_lcb_0106,input_004,5,5,True,True,True,True,leetcode/3093,leetcode,after_service_recovery,easy,2023-09-17T00:00:00,functional,private,66,26-100,True,8,10,True,1,False,all_correct
task_lcb_0106/input_005,task_lcb_0106,input_005,5,5,True,True,True,True,leetcode/3093,leetcode,after_service_recovery,easy,2023-09-17T00:00:00,functional,private,68,26-100,True,8,10,True,1,False,all_correct
task_lcb_0106/input_006,task_lcb_0106,input_006,5,5,True,True,True,True,leetcode/3093,leetcode,after_service_recovery,easy,2023-09-17T00:00:00,functional,private,14,11-25,True,8,5,True,1,False,all_correct
task_lcb_0106/input_009,task_lcb_0106,input_009,5,5,True,True,False,False,leetcode/3093,leetcode,after_service_recovery,easy,2023-09-17T00:00:00,functional,private,59,26-100,True,7,9,True,1,False,state_failed_given_correct_cf
task_lcb_0109/input_000,task_lcb_0109,input_000,3,3,True,True,True,True,leetcode/3106,leetcode,after_service_recovery,medium,2023-10-28T00:00:00,functional,public,106,>100,True,7,8,True,1,False,all_correct
task_lcb_0109/input_001,task_lcb_0109,input_001,3,3,True,True,True,True,leetcode/3106,leetcode,after_service_recovery,medium,2023-10-28T00:00:00,functional,public,106,>100,True,7,9,True,1,False,all_correct
task_lcb_0109/input_002,task_lcb_0109,input_002,3,3,True,True,True,True,leetcode/3106,leetcode,after_service_recovery,medium,2023-10-28T00:00:00,functional,public,30,26-100,True,7,6,True,1,False,all_correct
task_lcb_0109/input_004,task_lcb_0109,input_004,3,3,True,True,True,True,leetcode/3106,leetcode,before_service_recovery,medium,2023-10-28T00:00:00,functional,private,215,>100,True,7,6,True,1,False,all_correct
task_lcb_0109/input_005,task_lcb_0109,input_005,3,3,True,True,True,True,leetcode/3106,leetcode,after_service_recovery,medium,2023-10-28T00:00:00,functional,private,151,>100,True,7,8,True,1,False,all_correct
task_lcb_0109/input_008,task_lcb_0109,input_008,3,3,True,True,True,True,leetcode/3106,leetcode,after_service_recovery,medium,2023-10-28T00:00:00,functional,private,9,6-10,False,7,4,True,1,False,all_correct
task_lcb_0109/input_009,task_lcb_0109,input_009,3,3,True,True,True,True,leetcode/3106,leetcode,after_service_recovery,medium,2023-10-28T00:00:00,functional,private,188,>100,True,7,5,True,1,False,all_correct
task_lcb_0116/input_000,task_lcb_0116,input_000,7,7,True,False,False,False,leetcode/3163,leetcode,after_service_recovery,easy,2023-10-28T00:00:00,functional,public,41,26-100,True,9,6,True,1,False,state_failed_given_correct_cf
task_lcb_0116/input_001,task_lcb_0116,input_001,7,7,True,True,True,True,leetcode/3163,leetcode,after_service_recovery,easy,2023-10-28T00:00:00,functional,public,23,11-25,True,9,5,True,1,False,all_correct
task_lcb_0116/input_002,task_lcb_0116,input_002,7,7,True,True,True,True,leetcode/3163,leetcode,after_service_recovery,easy,2023-10-28T00:00:00,functional,private,11,11-25,True,9,4,True,1,False,all_correct
task_lcb_0116/input_003,task_lcb_0116,input_003,7,7,True,True,True,True,leetcode/3163,leetcode,after_service_recovery,easy,2023-10-28T00:00:00,functional,private,11,11-25,True,9,4,True,1,False,all_correct
task_lcb_0116/input_004,task_lcb_0116,input_004,7,7,True,True,True,True,leetcode/3163,leetcode,after_service_recovery,easy,2023-10-28T00:00:00,functional,private,11,11-25,True,9,4,True,1,False,all_correct
task_lcb_0116/input_005,task_lcb_0116,input_005,7,7,True,True,True,True,leetcode/3163,leetcode,after_service_recovery,easy,2023-10-28T00:00:00,functional,private,11,11-25,True,9,4,True,1,False,all_correct
task_lcb_0116/input_006,task_lcb_0116,input_006,7,0,False,True,False,False,leetcode/3163,leetcode,before_service_recovery,easy,2023-10-28T00:00:00,functional,private,11,11-25,True,9,4,True,1,False,control_flow_failed
task_lcb_0116/input_008,task_lcb_0116,input_008,7,7,True,True,True,True,leetcode/3163,leetcode,after_service_recovery,easy,2023-10-28T00:00:00,functional,private,11,11-25,True,9,4,True,1,False,all_correct
task_lcb_0163/input_000,task_lcb_0163,input_000,9,9,True,True,True,True,leetcode/3245,leetcode,after_service_recovery,medium,2024-01-13T00:00:00,functional,public,145,>100,True,15,18,True,1,False,all_correct
task_lcb_0163/input_001,task_lcb_0163,input_001,9,9,True,True,True,True,leetcode/3245,leetcode,after_service_recovery,medium,2024-01-13T00:00:00,functional,public,29,26-100,True,14,12,True,1,False,all_correct
task_lcb_0163/input_007,task_lcb_0163,input_007,9,9,True,True,True,True,leetcode/3245,leetcode,after_service_recovery,medium,2024-01-13T00:00:00,functional,private,416,>100,True,14,19,True,1,False,all_correct
task_lcb_0163/input_009,task_lcb_0163,input_009,9,9,False,True,False,False,leetcode/3245,leetcode,after_service_recovery,medium,2024-01-13T00:00:00,functional,private,464,>100,True,15,44,True,1,False,control_flow_failed
task_lcb_0171/input_000,task_lcb_0171,input_000,8,8,True,False,True,True,leetcode/3265,leetcode,after_service_recovery,medium,2024-02-03T00:00:00,functional,public,62,26-100,True,12,5,True,1,False,all_correct
task_lcb_0171/input_001,task_lcb_0171,input_001,8,8,True,False,False,False,leetcode/3265,leetcode,after_service_recovery,medium,2024-02-03T00:00:00,functional,public,50,26-100,True,12,7,True,1,False,state_failed_given_correct_cf
task_lcb_0171/input_002,task_lcb_0171,input_002,8,8,True,True,True,True,leetcode/3265,leetcode,after_service_recovery,medium,2024-02-03T00:00:00,functional,public,41,26-100,True,12,5,True,1,False,all_correct
task_lcb_0171/input_003,task_lcb_0171,input_003,7,7,True,False,False,False,leetcode/3265,leetcode,after_service_recovery,medium,2024-02-03T00:00:00,functional,private,57,26-100,True,11,4,True,1,False,state_failed_given_correct_cf
task_lcb_0171/input_005,task_lcb_0171,input_005,8,8,True,False,False,False,leetcode/3265,leetcode,after_service_recovery,medium,2024-02-03T00:00:00,functional,private,50,26-100,True,13,6,True,1,False,state_failed_given_correct_cf
task_lcb_0171/input_007,task_lcb_0171,input_007,7,7,True,True,True,True,leetcode/3265,leetcode,after_service_recovery,medium,2024-02-03T00:00:00,functional,private,21,11-25,True,11,4,True,1,False,all_correct
task_lcb_0171/input_008,task_lcb_0171,input_008,7,7,True,False,False,False,leetcode/3265,leetcode,after_service_recovery,medium,2024-02-03T00:00:00,functional,private,21,11-25,True,11,4,True,1,False,state_failed_given_correct_cf
task_lcb_0171/input_009,task_lcb_0171,input_009,7,0,False,False,False,False,leetcode/3265,leetcode,before_service_recovery,medium,2024-02-03T00:00:00,functional,private,21,11-25,True,11,4,True,1,False,control_flow_failed
task_lcb_0190/input_000,task_lcb_0190,input_000,5,5,True,True,True,True,atcoder/abc301_a,atcoder,after_service_recovery,easy,2023-05-13T00:00:00,stdin,public,3,3-5,False,3,3,False,1,False,all_correct
task_lcb_0190/input_001,task_lcb_0190,input_001,5,5,True,True,True,True,atcoder/abc301_a,atcoder,after_service_recovery,easy,2023-05-13T00:00:00,stdin,public,4,3-5,False,4,4,False,1,False,all_correct
task_lcb_0190/input_002,task_lcb_0190,input_002,5,5,True,True,True,True,atcoder/abc301_a,atcoder,after_service_recovery,easy,2023-05-13T00:00:00,stdin,public,4,3-5,False,4,4,False,1,False,all_correct
task_lcb_0190/input_003,task_lcb_0190,input_003,5,5,True,False,True,True,atcoder/abc301_a,atcoder,after_service_recovery,easy,2023-05-13T00:00:00,stdin,private,3,3-5,False,3,3,False,1,False,all_correct
task_lcb_0190/input_004,task_lcb_0190,input_004,5,5,True,True,False,False,atcoder/abc301_a,atcoder,after_service_recovery,easy,2023-05-13T00:00:00,stdin,private,4,3-5,False,4,4,False,1,False,state_failed_given_correct_cf
task_lcb_0190/input_005,task_lcb_0190,input_005,5,5,True,True,True,True,atcoder/abc301_a,atcoder,after_service_recovery,easy,2023-05-13T00:00:00,stdin,private,4,3-5,False,4,4,False,1,False,all_correct
task_lcb_0190/input_006,task_lcb_0190,input_006,5,5,True,True,True,True,atcoder/abc301_a,atcoder,after_service_recovery,easy,2023-05-13T00:00:00,stdin,private,3,3-5,False,3,3,False,1,False,all_correct
task_lcb_0190/input_007,task_lcb_0190,input_007,5,5,True,True,True,True,atcoder/abc301_a,atcoder,after_service_recovery,easy,2023-05-13T00:00:00,stdin,private,3,3-5,False,3,3,False,1,False,all_correct
